book,pericope_id,pericope_name,ix,pos_N,number_S,case_G,case_N,gender_F,gender_M,count_ἑαυτοῦ,count_ἄν,count_ἀλλά,count_ἀπό,count_ἄρα,count_δέ,count_δή,count_διά,count_ἔτι,count_ἐγώ,count_ἐκ,count_ἐν,count_ἐπί,count_εἰ,count_γάρ,count_ἤ,count_καί,count_κατά,count_μέν,count_μετά,count_μή,count_ὁ,count_ὅδε,count_ὅτι,count_οὔτε,count_οὖν,count_οὐ,count_οὐδέ,count_περί,count_σύ,count_σύν,count_ὑπέρ,count_ὑπό,count_ὦ,count_ὥστε,count_ἐάν,count_παρά,count_πάλιν,count_αὐτός,count_υἱός,count_ἡμέρα,count_σήμερον,count_αὔριον,count_Ἰησοῦς,count_πατήρ,count_κύριος,count_ἀμήν,count_Χριστός,count_θεός,avg_word_length,unique_word_ratio,stop_words_ratio,is_dialog,capitalized_words,substring_comma,substring_dot,substring_median,substring_kai,avg_len_comma,avg_len_dot,avg_len_median,nbr_words,pos_RA,gender_N,pos_D,pos_P,pos_RP,pos_V,pos_A,pos_C,pos_RR,person_3,person_2,tense_X,tense_A,active_P,active_M,active_A,mode_P,mode_S,mode_I,mode_N,number_P,case_D,case_V,case_A,pos_RD,person_1,tense_P,tense_I,pos_X,pos_RI,tense_F,mode_D,mode_O,tense_Y,pos_I,source,genre,synoptic
Mt,98,The Harvest is Great,98|The Harvest is Great|Mt,18.0,30.0,10.0,16.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.052631578947368,0.6052631578947368,0.4342105263157895,1,1,3,3,3,0,24.666666666666668,18.25,24.333333333333332,76,13.0,4.0,2.0,3.0,4.0,13.0,5.0,13.0,0.0,5.0,1.0,2.0,4.0,4.0,0.0,9.0,7.0,1.0,4.0,0.0,23.0,4.0,0.0,17.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,triple,sayings,True
Mk,98,The Harvest is Great,98|The Harvest is Great|Mk,5.0,12.0,1.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.305555555555555,0.6944444444444444,0.3888888888888889,0,0,3,3,0,0,11.333333333333334,8.5,0.0,36,2.0,3.0,2.0,2.0,3.0,10.0,2.0,7.0,0.0,6.0,0.0,0.0,4.0,1.0,1.0,8.0,3.0,0.0,6.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,triple,sayings,True
Lk,98,The Harvest is Great,98|The Harvest is Great|Lk,10.0,25.0,7.0,11.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.5961538461538461,0.5192307692307693,1,0,4,1,3,0,12.25,25.5,16.666666666666668,52,9.0,0.0,1.0,5.0,4.0,7.0,3.0,10.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,0.0,8.0,2.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,triple,sayings,True
Mt,99,Commissioning the Twelve,99|Commissioning the Twelve|Mt,70.0,115.0,37.0,66.0,45.0,89.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,15.0,0.0,1.0,0.0,6.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.294326241134752,0.475177304964539,0.36524822695035464,4,22,16,11,10,0,17.3125,22.583333333333332,27.8,282,35.0,18.0,10.0,13.0,21.0,45.0,18.0,41.0,2.0,12.0,18.0,2.0,20.0,2.0,10.0,33.0,11.0,9.0,9.0,2.0,79.0,10.0,0.0,49.0,4.0,2.0,22.0,0.0,5.0,1.0,1.0,14.0,0.0,0.0,0.0,triple,sayings,True
Mk,99,Commissioning the Twelve,99|Commissioning the Twelve|Mk,42.0,71.0,16.0,7.0,9.0,62.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2994652406417115,0.47593582887700536,0.39037433155080214,1,19,18,5,3,0,10.055555555555555,30.333333333333332,61.333333333333336,187,18.0,15.0,10.0,8.0,14.0,31.0,9.0,35.0,4.0,20.0,5.0,1.0,14.0,0.0,7.0,24.0,2.0,8.0,15.0,4.0,43.0,7.0,0.0,59.0,0.0,0.0,13.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,triple,sayings,True
Lk,99,Commissioning the Twelve,99|Commissioning the Twelve|Lk,45.0,70.0,16.0,8.0,20.0,59.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.355555555555555,0.5111111111111111,0.37777777777777777,2,17,12,6,3,0,14.583333333333334,24.857142857142858,59.333333333333336,180,16.0,9.0,6.0,13.0,11.0,29.0,7.0,31.0,5.0,11.0,6.0,0.0,14.0,1.0,10.0,18.0,5.0,2.0,11.0,6.0,39.0,7.0,0.0,60.0,2.0,1.0,14.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,triple,sayings,True
Mt,100,The Fate of the Disciples,100|The Fate of the Disciples|Mt,48.0,94.0,25.0,39.0,22.0,62.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,5.0,2.0,1.0,4.0,1.0,19.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.9305019305019306,0.3938223938223938,0.4555984555984556,1,2,10,12,9,0,25.7,19.076923076923077,28.11111111111111,259,36.0,33.0,11.0,24.0,23.0,42.0,10.0,39.0,0.0,24.0,10.0,0.0,11.0,11.0,4.0,27.0,6.0,8.0,25.0,1.0,72.0,23.0,0.0,44.0,5.0,1.0,10.0,0.0,2.0,3.0,21.0,2.0,0.0,0.0,0.0,triple,sayings,True
Mk,100,The Fate of the Disciples,100|The Fate of the Disciples|Mk,18.0,31.0,5.0,17.0,4.0,18.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.106796116504855,0.5728155339805825,0.4077669902912621,0,0,5,5,3,0,20.2,16.5,33.333333333333336,103,8.0,20.0,2.0,12.0,10.0,21.0,4.0,16.0,1.0,8.0,8.0,0.0,4.0,6.0,2.0,13.0,4.0,3.0,10.0,1.0,34.0,5.0,0.0,22.0,3.0,0.0,9.0,0.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,triple,sayings,True
Lk,100,The Fate of the Disciples,100|The Fate of the Disciples|Lk,25.0,39.0,20.0,15.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,13.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748427672955975,0.49056603773584906,0.46540880503144655,2,0,8,7,3,0,19.375,19.0,51.666666666666664,159,16.0,14.0,8.0,16.0,17.0,29.0,7.0,24.0,2.0,11.0,7.0,1.0,10.0,5.0,8.0,16.0,5.0,5.0,12.0,5.0,55.0,11.0,0.0,29.0,1.0,1.0,8.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,triple,sayings,True
Mt,101,Exhortation to Fearless Confession,101|Exhortation to Fearless Confession|Mt,22.0,57.0,27.0,18.0,14.0,25.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,7.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.8194444444444446,0.4305555555555556,0.4652777777777778,2,0,6,7,6,0,23.666666666666668,17.125,23.5,144,18.0,23.0,9.0,17.0,14.0,26.0,7.0,14.0,6.0,8.0,8.0,2.0,6.0,6.0,8.0,12.0,5.0,2.0,12.0,2.0,34.0,10.0,0.0,17.0,0.0,3.0,12.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,q,sayings,True
Lk,101,Exhortation to Fearless Confession,101|Exhortation to Fearless Confession|Lk,22.0,59.0,31.0,18.0,10.0,32.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.9612903225806453,0.4774193548387097,0.4258064516129032,4,0,8,7,6,0,19.125,18.5,25.333333333333332,155,23.0,31.0,8.0,18.0,10.0,32.0,10.0,10.0,6.0,11.0,8.0,3.0,11.0,13.0,2.0,17.0,6.0,3.0,17.0,3.0,45.0,14.0,0.0,18.0,2.0,4.0,11.0,0.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,q,sayings,True
Mt,102,Divisions within Households,102|Divisions within Households|Mt,12.0,23.0,12.0,3.0,13.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.065217391304348,0.5652173913043478,0.5,0,0,2,2,2,0,21.5,14.666666666666666,22.0,46,6.0,0.0,2.0,4.0,4.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,7.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q,sayings,True
Lk,102,Divisions within Households,102|Divisions within Households|Lk,16.0,25.0,2.0,10.0,15.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.8524590163934427,0.5573770491803278,0.4918032786885246,1,0,7,2,0,0,8.285714285714286,19.666666666666668,0.0,61,5.0,0.0,2.0,11.0,2.0,7.0,6.0,8.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,5.0,1.0,10.0,9.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,q,sayings,True
